titre;auteur;genre;isbn;editeur;date_publication;nb_pages
Le cartographe des Indes boréales;Olivier TRUC;Fiction;978275788104;Points;10/09/2020;624
Le cri de la chouette;Hervé BAZIN;;2000036001376;Grasset;01/09/1972;
Adieu;Jacques EXPERT;Policier;3010000119173;Le Livre de Poche;27/03/2013;398
A Certain Justice;P. D. James;;9780140274684;Penguin;10/11/1998;496
Mystery;Peter STRAUB;Fiction;9780307472229;Pocket;01/01/2010;548
Maine;J. Courtney SULLIVAN;;9780307596819;Le Livre de Poche;14/06/2011;600
Confessions of a Taoist on Wall Street;David PAYNE;;9780345410382;43374;01/09/1996;
True History Of The Kelly Gang;Peter CAREY;;9780571204083;Faber And Faber;01/01/2001;
Galíndez;Manuel VAZQUEZ MONTALBAN;Fiction;9780689121210;Points;01/01/1992;343
Alaska;James Albert MICHENER;Fiction;9780749319762;Presses de la cité;01/01/1997;1274
Dalva;Jim HARRISON;Fiction;9780802192226;43374;20/12/2013;999
Russka;Edward RUTHERFURD;Fiction;9781409039631;Pocket;23/12/2010;1024
Fiona Range;Mary McGARRY MORRIS;Fiction;9781440628498;Pocket;01/07/2001;432
Bondrée;Andrée A. MICHAUD;;9781771961097;;16/05/2017;304
Louisa Elliott;Ann-Victoria ROBERTS;Fiction;9781909270848;Le Livre de Poche;06/04/2014;720
L'hôtel New Hampshire;John IRVING;;9782020064729;Points;01/05/1983;
Un Mariage poids moyen;John IRVING;;9782020088084;Points;01/06/1985;320
une priere pour owen;John IRVING;;9782020107129;Points;01/01/1989;568
La Belle Affaire;T. Coraghessan BOYLE;;9782020146241;Points;12/05/1993;452
Liberté pour les ours !;John IRVING;;9782020197298;Points;01/01/1998;
La croix et la bannière;William BOYD;;9782020221597;Points;21/04/2001;301
Les nouvelles confessions;William BOYD;;9782020239233;Points;15/03/1995;633
Comme neige au soleil;William BOYD;;9782020239240;Points;15/03/1995;459
Docile;Didier DECOIN;;9782020285186;Points;09/02/1996;365
Un enfant de la balle;John IRVING;;9782020309011;Points;08/07/1998;765
La promeneuse d'oiseaux;Didier DECOIN;;9782020319836;Points;03/02/2000;395
LA neige tombait sur les cèdres;David GUTERSON;;9782020321211;Points;01/01/1998;382
Armadillo;William BOYD;;9782020372299;Points;01/01/1999;367
Louise;Didier DECOIN;Literary Collections;9782020374286;Points;;304
Le voyage de Théo;Catherine CLEMENT;;9782020382038;Points;28/09/1999;720
Le diamant noir;Peter MAYLE;Fiction;9782020386050;Points;01/01/2001;290
Le Théorème du perroquet;Denis GUEDJ;;9782020427852;Points;19/08/2000;654
La Maison Russie;John LE CARRE;;9782020479936;Folio;03/10/2003;480
La Tempête;Juan Manuel DE PRADA;;9782020525763;Points;14/01/2002;349
N'oublie pas mes petits souliers;Joseph CONNOLLY;;9782020551328;Points;02/04/2004;496
L'Homme sans fusil;Ysabelle LACAMP;;9782020581110;Points;19/03/2003;368
L' artiste des dames;Eduardo MENDOZA;Juvenile Nonfiction;9782020581134;Points;01/01/2003;345
À livre ouvert - Grand prix des Lectrices de Elle 2003;William BOYD;;9782020617130;Points;14/01/2004;608
Talion;Christian de MONTELLA;;9782020663946;Points;01/01/2004;960
Qu'elle repose en paix;Jonathan KELLERMAN;;9782020826099;Points;05/01/2006;570
La vie invisible;Juan Manuel DE PRADA;;9782020849494;Points;12/01/2006;627
La femme sur la plage avec un chien;William BOYD;;9782020864763;Points;14/04/2006;196
La femme de chambre du Titanic;Didier DECOIN;;9782020903738;Points;09/11/2006;330
Le philosophe nu;Alexandre JOLLIEN;;9782020959155;Seuil;19/08/2010;197
Petites Infamies;Carmen POSADAS;Fiction;9782021085891;Points;;318
L'Ame du chasseur;Deon MEYER;Fiction;9782021088786;Points;;472
Jusqu'au dernier;Deon MEYER;Fiction;9782021088809;Points;;457
Lemmer, l'invisible;Deon MEYER;Fiction;9782021088823;Points;;448
Poussières d'exil;Patrick BARD;Fiction;9782021106527;Points;;494
